,Date,Zip Code,Model Year,Fuel,Make,Duty,Vehicles
0,1/1/2020,90001,2007,Gasoline,ACURA,Light,15
1,1/1/2020,90002,2007,Gasoline,ACURA,Light,20
2,1/1/2020,90003,2007,Gasoline,ACURA,Light,29
3,1/1/2020,90004,2007,Gasoline,ACURA,Light,19
4,1/1/2020,90006,2007,Gasoline,ACURA,Light,15
5,1/1/2020,90011,2007,Gasoline,ACURA,Light,36
6,1/1/2020,90016,2007,Gasoline,ACURA,Light,14
7,1/1/2020,90018,2007,Gasoline,ACURA,Light,19
8,1/1/2020,90019,2007,Gasoline,ACURA,Light,17
9,1/1/2020,90022,2007,Gasoline,ACURA,Light,30
