,Date,Zip Code,Model Year,Fuel,Make,Duty,Vehicles
0,1/1/2021,90001,2008,Gasoline,ACURA,Light,12
1,1/1/2021,90003,2008,Gasoline,ACURA,Light,24
2,1/1/2021,90004,2008,Gasoline,ACURA,Light,20
3,1/1/2021,90005,2008,Gasoline,ACURA,Light,12
4,1/1/2021,90006,2008,Gasoline,ACURA,Light,15
5,1/1/2021,90007,2008,Gasoline,ACURA,Light,11
6,1/1/2021,90011,2008,Gasoline,ACURA,Light,32
7,1/1/2021,90016,2008,Gasoline,ACURA,Light,15
8,1/1/2021,90018,2008,Gasoline,ACURA,Light,18
9,1/1/2021,90019,2008,Gasoline,ACURA,Light,24
