,Date,Zip Code,Model Year,Fuel,Make,Duty,Vehicles
0,12/31/2022,90000,2010,Gasoline,OTHER/UNK,Light,1
1,12/31/2022,90000,2012,Hybrid Gasoline,OTHER/UNK,Light,1
2,12/31/2022,90000,2013,Gasoline,OTHER/UNK,Light,1
3,12/31/2022,90000,<2009,Gasoline,OTHER/UNK,Heavy,19
4,12/31/2022,90000,<2009,Gasoline,OTHER/UNK,Light,16
5,12/31/2022,90000,<2009,Gasoline,OTHER/UNK,Unk,7
6,12/31/2022,90000,<2009,Gasoline,FORD,Light,19
7,12/31/2022,90000,<2009,Gasoline,PLYMOUTH,Light,35
8,12/31/2022,90000,<2009,Gasoline,CHEVROLET,Light,20
9,12/31/2022,90000,<2009,Unk,OTHER/UNK,Unk,21
